,Unnamed: 0,id,artists,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify_popularity
124,124,4ydtQJImyQg6UDFFZBzgxp,Dinah Washington,Cry Me A River,1950,0.26,0.205,5,-16.618,0,0.0312,0.821,0.00102,0.074,0.313,99.912,150893,3,54.0
125,125,5tHFPtV7dT01fxDe2AhKjD,Little Richard,Rip It Up,1950,0.895,0.636,5,-6.043,1,0.06,0.672,3.31e-06,0.0207,0.967,95.922,141400,4,53.0
126,126,5vjigjfoXuJEttqLB3HTAg,Lloyd Price,Personality,1950,0.591,0.454,5,-8.936,1,0.0322,0.744,0.0,0.0989,0.865,128.909,157733,4,46.0
127,127,07ePHsQ0SopWrnCbNjNC2D,Little Anthony & The Imperials,Tears on My Pillow,1950,0.432,0.202,0,-14.518,1,0.0283,0.908,0.0,0.181,0.641,100.082,140533,3,54.0
128,128,6lYeYgSkWh6TZDQy6YZuvG,Louis Prima,Just A Gigolo - Remastered,1950,0.525,0.403,8,-11.987,1,0.0945,0.597,0.0,0.0565,0.718,125.187,283200,4,51.0
129,129,4GWHrdyVTC0AWwuRgoWzE7,Chuck Berry,Sweet Little Sixteen,1950,0.507,0.627,1,-7.838,1,0.0354,0.575,0.0,0.198,0.962,175.309,180747,4,50.0
130,130,18YPNs20cBfgqkY8YCJlOH,Neil Sedaka,You Mean Everything to Me,1950,0.374,0.429,0,-7.801,0,0.0279,0.523,0.0,0.134,0.679,71.519,157867,4,51.0
131,131,4uAalOPic5WOPJF1kANXCt,The Skyliners,Since I Don't Have You (Alternative Take),1950,0.265,0.602,6,-4.231,1,0.0319,0.59,0.000293,0.299,0.663,70.722,158840,4,51.0
132,132,20UjAGdEjVb8DniNXvqHJy,Buddy Holly & The Crickets,Maybe Baby,1950,0.607,0.477,9,-12.904,1,0.0333,0.708,0.0,0.253,0.887,136.614,122600,4,53.0
133,133,04bsExZXrwoRXYKKDWlTIU,Hank Williams & Drifting Cowboys,I Saw The Light,1950,0.349,0.273,7,-11.443,1,0.0325,0.95,6.21e-05,0.146,0.493,204.922,166000,4,51.0
134,134,6o5RbQYhmF4yRRw7ZArxGL,Billie Holiday,Autumn In New York,1950,0.587,0.098,10,-15.196,0,0.0607,0.958,7e-06,0.114,0.288,71.523,224333,4,55.0
135,135,0SIzIfR6913S1oqTbyg8YC,Ella Fitzgerald,Blue Skies,1950,0.611,0.285,0,-10.225,1,0.0682,0.837,0.0,0.102,0.604,79.463,226360,4,51.0
